Dato,Forklaring,Rentedato,Ut fra konto,Inn på konto
8/5/2025,Kontoregulering  331 Overføring Mellom Egne Konti  ,8/5/2025,"2,000.00",
8/5/2025,Lønn  1011115 Kaffebrenneriet AS  ,8/5/2025,,"12,393.00"
8/3/2025,Kontoregulering  337 Mobil Overføring  ,8/4/2025,"10,000.00",
8/1/2025,Kontoregulering  336 Mobil Overføring  ,8/1/2025,"2,000.00",
7/29/2025,Kontoregulering  335 Mobil Overføring  ,7/30/2025,"2,000.00",
7/28/2025,Kontoregulering  334 Mobil Overføring  ,7/28/2025,500.00,
7/16/2025,Kontoregulering  333 Mobil Overføring  ,7/17/2025,"5,000.00",
7/10/2025,Kontoregulering  332 Mobil Overføring  ,7/10/2025,"20,000.00",
7/9/2025,Overføring Innland  32024620001 Novooi AS  ,7/9/2025,,"10,500.00"
7/5/2025,Kontoregulering  325 Overføring Mellom Egne Konti  ,7/7/2025,"2,000.00",
7/4/2025,Lønn  1546152 Kaffebrenneriet AS  ,7/4/2025,,"27,486.52"
6/30/2025,Kontoregulering  330 Mobil Overføring  ,7/1/2025,"5,000.00",
6/24/2025,Kontoregulering  329 Mobil Overføring  ,6/25/2025,"5,000.00",
6/23/2025,Overføring Innland  36220510001 Novooi AS  ,6/23/2025,,"15,500.00"
6/15/2025,Kontoregulering  328 Mobil Overføring  ,6/16/2025,"3,000.00",
6/14/2025,Kontoregulering  327 Mobil Overføring  ,6/16/2025,"2,000.00",
6/9/2025,Kontoregulering  326 Mobil Overføring  ,6/10/2025,"2,000.00",
6/5/2025,Kontoregulering  317 Overføring Mellom Egne Konti  ,6/5/2025,"2,000.00",
6/5/2025,Lønn  132369 Kaffebrenneriet AS  ,6/5/2025,,"11,824.50"
6/1/2025,Kontoregulering  324 Mobil Overføring  ,6/2/2025,"5,000.00",
5/28/2025,Kontoregulering  323 Mobil Overføring  ,5/30/2025,"5,000.00",
5/28/2025,Kontoregulering  322 Mobil Overføring  ,5/28/2025,300.00,
5/27/2025,Kontoregulering  321 Mobil Overføring  ,5/28/2025,"5,000.00",
5/27/2025,Kontoregulering  320 Mobil Overføring  ,5/28/2025,"5,000.00",
5/27/2025,Kontoregulering  600 Mobil Overføring  ,5/28/2025,,"6,423.00"
5/26/2025,Overføring Innland  93807690001 Novooi AS  ,5/26/2025,,"15,000.00"
5/15/2025,Kontoregulering  319 Mobil Overføring  ,5/16/2025,"5,000.00",
5/12/2025,Kontoregulering  318 Mobil Overføring  ,5/13/2025,"2,000.00",
5/5/2025,Kontoregulering  312 Overføring Mellom Egne Konti  ,5/5/2025,"2,000.00",
5/5/2025,Lønn  853181 Kaffebrenneriet AS  ,5/5/2025,,"9,617.50"
5/1/2025,Kontoregulering  316 Mobil Overføring  ,5/2/2025,"3,000.00",
4/27/2025,Kontoregulering  315 Mobil Overføring  ,4/28/2025,"1,000.00",
4/23/2025,Kontoregulering  314 Mobil Overføring  ,4/24/2025,"5,500.00",
4/10/2025,Overføring Innland  88164470001 Novooi AS  ,4/10/2025,,"18,600.00"
4/5/2025,Kontoregulering  307 Overføring Mellom Egne Konti  ,4/7/2025,"3,500.00",
4/5/2025,Kontoregulering  306 Overføring Mellom Egne Konti  ,4/7/2025,"2,000.00",
4/4/2025,Lønn  1350861 Kaffebrenneriet AS  ,4/4/2025,,"10,631.50"
